,timestampa,sid,msg,clasificacion,prioridad,protocolo,origen,destino,puerto,id,ip,localizacion,nombre_responsable,analisis_id,id,puertosabiertos,numberports,servicios,servicios_inseguros,vulnerabilidades
152,2022-07-03 11:39:00,2010698.0,ET WEB_SERVER Possible D-Link Router HNAP Protocol Security Bypass Attempt ,Web Application Attack,1,TCP,194.31.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
153,2022-07-03 11:39:00,2019309.0,ET WEB_SERVER WGET Command Specifying Output in HTTP Headers ,Attempted Administrator Privilege Gain,1,TCP,194.31.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
154,2022-07-03 11:39:00,2020899.0,ET EXPLOIT D-Link Devices Home Network Administration Protocol Command Execution ,Attempted Administrator Privilege Gain,1,TCP,194.31.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
158,2022-07-03 13:30:45,2010698.0,ET WEB_SERVER Possible D-Link Router HNAP Protocol Security Bypass Attempt ,Web Application Attack,1,TCP,194.31.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
159,2022-07-03 13:30:45,2019309.0,ET WEB_SERVER WGET Command Specifying Output in HTTP Headers ,Attempted Administrator Privilege Gain,1,TCP,194.31.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
160,2022-07-03 13:30:45,2020899.0,ET EXPLOIT D-Link Devices Home Network Administration Protocol Command Execution ,Attempted Administrator Privilege Gain,1,TCP,194.31.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
167,2022-07-03 15:33:11,2029022.0,ET SCAN Mirai Variant User-Agent (Inbound) ,Attempted Administrator Privilege Gain,1,TCP,120.85.113.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
197,2022-07-03 19:04:16,2010698.0,ET WEB_SERVER Possible D-Link Router HNAP Protocol Security Bypass Attempt ,Web Application Attack,1,TCP,194.31.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
198,2022-07-03 19:04:16,2019309.0,ET WEB_SERVER WGET Command Specifying Output in HTTP Headers ,Attempted Administrator Privilege Gain,1,TCP,194.31.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
199,2022-07-03 19:04:16,2020899.0,ET EXPLOIT D-Link Devices Home Network Administration Protocol Command Execution ,Attempted Administrator Privilege Gain,1,TCP,194.31.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
218,2022-07-03 22:18:44,2025756.0,ET EXPLOIT D-Link DSL-2750B - OS Command Injection ,Attempted User Privilege Gain,1,TCP,221.198.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
219,2022-07-03 22:18:44,2029016.0,ET SCAN Mirai Variant User-Agent (Inbound) ,Attempted Administrator Privilege Gain,1,TCP,221.198.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
220,2022-07-03 22:19:58,2025756.0,ET EXPLOIT D-Link DSL-2750B - OS Command Injection ,Attempted User Privilege Gain,1,TCP,221.198.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
222,2022-07-03 22:19:59,2029016.0,ET SCAN Mirai Variant User-Agent (Inbound) ,Attempted Administrator Privilege Gain,1,TCP,221.198.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
283,2022-07-04 05:43:34,2010698.0,ET WEB_SERVER Possible D-Link Router HNAP Protocol Security Bypass Attempt ,Web Application Attack,1,TCP,194.31.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
284,2022-07-04 05:43:34,2019309.0,ET WEB_SERVER WGET Command Specifying Output in HTTP Headers ,Attempted Administrator Privilege Gain,1,TCP,194.31.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
285,2022-07-04 05:43:34,2020899.0,ET EXPLOIT D-Link Devices Home Network Administration Protocol Command Execution ,Attempted Administrator Privilege Gain,1,TCP,194.31.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
291,2022-07-04 07:30:04,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
299,2022-07-04 08:28:12,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
302,2022-07-04 08:48:22,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
478,2022-07-04 11:58:08,2009363.0,ET HUNTING Suspicious Chmod Usage in URI (Inbound) ,Attempted Administrator Privilege Gain,1,TCP,120.85.114.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
479,2022-07-04 11:58:08,2025883.0,ET EXPLOIT MVPower DVR Shell UCE ,Attempted Administrator Privilege Gain,1,TCP,120.85.114.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
480,2022-07-04 11:58:08,2029022.0,ET SCAN Mirai Variant User-Agent (Inbound) ,Attempted Administrator Privilege Gain,1,TCP,120.85.114.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
481,2022-07-04 11:58:08,2030093.0,ET SCAN JAWS Webserver Unauthenticated Shell Command Execution ,Web Application Attack,1,TCP,120.85.114.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
505,2022-07-04 13:11:13,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
506,2022-07-04 13:17:24,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
511,2022-07-04 13:22:34,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
515,2022-07-04 13:33:55,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
517,2022-07-04 13:51:23,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
528,2022-07-04 15:05:20,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
591,2022-07-04 16:12:41,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
592,2022-07-04 16:26:41,2031501.0,ET INFO Netlink GPON Login Attempt (GET) ,Attempted Administrator Privilege Gain,1,TCP,115.63.41.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
593,2022-07-04 16:39:57,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
595,2022-07-04 16:47:48,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
598,2022-07-04 17:03:59,2026731.0,ET WEB_SERVER ThinkPHP RCE Exploitation Attempt ,Attempted Administrator Privilege Gain,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
603,2022-07-04 17:20:33,2010698.0,ET WEB_SERVER Possible D-Link Router HNAP Protocol Security Bypass Attempt ,Web Application Attack,1,TCP,194.31.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
604,2022-07-04 17:20:33,2019309.0,ET WEB_SERVER WGET Command Specifying Output in HTTP Headers ,Attempted Administrator Privilege Gain,1,TCP,194.31.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
605,2022-07-04 17:20:33,2020899.0,ET EXPLOIT D-Link Devices Home Network Administration Protocol Command Execution ,Attempted Administrator Privilege Gain,1,TCP,194.31.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
610,2022-07-04 17:42:57,2025883.0,ET EXPLOIT MVPower DVR Shell UCE ,Attempted Administrator Privilege Gain,1,TCP,110.11.51.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
611,2022-07-04 17:42:57,2029022.0,ET SCAN Mirai Variant User-Agent (Inbound) ,Attempted Administrator Privilege Gain,1,TCP,110.11.51.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
612,2022-07-04 17:42:57,2030093.0,ET SCAN JAWS Webserver Unauthenticated Shell Command Execution ,Web Application Attack,1,TCP,110.11.51.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
646,2022-07-04 20:48:13,2018056.0,ET WEB_SERVER Possible XXE SYSTEM ENTITY in POST BODY. ,A Network Trojan was detected,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
647,2022-07-04 20:48:13,2031562.0,ET EXPLOIT Zimbra <8.8.11 - XML External Entity Injection/SSRF Attempt (CVE-2019-9621) ,Attempted User Privilege Gain,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
648,2022-07-04 20:48:13,2037040.0,ET EXPLOIT Possible Zimbra Autodiscover Servlet XXE (CVE-2019-9670) ,Attempted Administrator Privilege Gain,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
685,2022-07-04 22:57:19,2011465.0,ET WEB_SERVER /bin/sh In URI Possible Shell Command Execution Attempt ,Web Application Attack,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
686,2022-07-04 22:57:19,2034125.0,ET EXPLOIT Apache HTTP Server 2.4.49 - Path Traversal Attempt (CVE-2021-41773) M2 ,Attempted Administrator Privilege Gain,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
753,2022-07-05 04:54:15,2025883.0,ET EXPLOIT MVPower DVR Shell UCE ,Attempted Administrator Privilege Gain,1,TCP,31.163.150.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
754,2022-07-05 04:54:15,2029022.0,ET SCAN Mirai Variant User-Agent (Inbound) ,Attempted Administrator Privilege Gain,1,TCP,31.163.150.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
755,2022-07-05 04:54:15,2030093.0,ET SCAN JAWS Webserver Unauthenticated Shell Command Execution ,Web Application Attack,1,TCP,31.163.150.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
762,2022-07-05 05:11:42,2010698.0,ET WEB_SERVER Possible D-Link Router HNAP Protocol Security Bypass Attempt ,Web Application Attack,1,TCP,194.31.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
763,2022-07-05 05:11:42,2019309.0,ET WEB_SERVER WGET Command Specifying Output in HTTP Headers ,Attempted Administrator Privilege Gain,1,TCP,194.31.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
764,2022-07-05 05:11:42,2020899.0,ET EXPLOIT D-Link Devices Home Network Administration Protocol Command Execution ,Attempted Administrator Privilege Gain,1,TCP,194.31.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
809,2022-07-05 07:30:04,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
822,2022-07-05 09:47:55,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
830,2022-07-05 10:21:52,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
831,2022-07-05 10:27:11,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
835,2022-07-05 10:32:32,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
836,2022-07-05 10:39:00,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
837,2022-07-05 10:47:23,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
838,2022-07-05 10:54:09,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
846,2022-07-05 11:21:55,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
847,2022-07-05 11:28:05,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
851,2022-07-05 11:33:18,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
861,2022-07-05 11:39:22,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
872,2022-07-05 12:40:30,2026731.0,ET WEB_SERVER ThinkPHP RCE Exploitation Attempt ,Attempted Administrator Privilege Gain,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
903,2022-07-05 15:53:54,2018056.0,ET WEB_SERVER Possible XXE SYSTEM ENTITY in POST BODY. ,A Network Trojan was detected,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
904,2022-07-05 15:53:54,2031562.0,ET EXPLOIT Zimbra <8.8.11 - XML External Entity Injection/SSRF Attempt (CVE-2019-9621) ,Attempted User Privilege Gain,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
905,2022-07-05 15:53:54,2037040.0,ET EXPLOIT Possible Zimbra Autodiscover Servlet XXE (CVE-2019-9670) ,Attempted Administrator Privilege Gain,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
943,2022-07-05 17:40:55,2011465.0,ET WEB_SERVER /bin/sh In URI Possible Shell Command Execution Attempt ,Web Application Attack,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
944,2022-07-05 17:40:55,2034125.0,ET EXPLOIT Apache HTTP Server 2.4.49 - Path Traversal Attempt (CVE-2021-41773) M2 ,Attempted Administrator Privilege Gain,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
954,2022-07-05 18:09:51,2010698.0,ET WEB_SERVER Possible D-Link Router HNAP Protocol Security Bypass Attempt ,Web Application Attack,1,TCP,194.31.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
955,2022-07-05 18:09:51,2019309.0,ET WEB_SERVER WGET Command Specifying Output in HTTP Headers ,Attempted Administrator Privilege Gain,1,TCP,194.31.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
956,2022-07-05 18:09:51,2020899.0,ET EXPLOIT D-Link Devices Home Network Administration Protocol Command Execution ,Attempted Administrator Privilege Gain,1,TCP,194.31.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
1477,2022-07-06 07:30:04,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
1516,2022-07-06 10:27:06,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
1526,2022-07-06 10:45:36,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
1534,2022-07-06 11:02:24,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
1536,2022-07-06 11:26:22,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
1538,2022-07-06 11:33:40,2026731.0,ET WEB_SERVER ThinkPHP RCE Exploitation Attempt ,Attempted Administrator Privilege Gain,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
1539,2022-07-06 11:45:05,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
